name,addr:country,addr:orig_street,addr:housenumber,addr:postcode,addr:city,POI_TYPE,amenity,shop,tourism,craft,club,office,man_made,social_facility,social_facility:for,leisure,garden:type,payment:none,natural,access,type,building,landuse,place,dedication,squatted,vacant,internet_access,description,#N/A,image,contact:website,contact:email,contact:phone,opening_hours,organic,fair-trade,regional,CATEGORY-TAG1,CATEGORY-TAG2,CATEGORY-TAG3,lat,lon,lat,lon,addr:street,place
Cyclonomia,HU,Katona Jozsef utca,39,,Budapest,self help contact points,social_facility,,,,,,,support_group,,,,,,,,,,,,,,,,,,http://cyclonomia.org/,kontakt@cyclonomia.org,,,,,,,,,,,47.5149655,19.0485127,Katona József utca,isolated_dwelling
Pipacs Pékseg,HU,Bécsi út,267,,Budapest,Bakery,,bakery,,,,,,,,,,,,,,,,,,,,,,,,http://pipacspekseg.hu/,info@pipacspekseg.hu,+36 704298964,,,,,,,,,,47.55163745,19.02930975,Bécsi út,isolated_dwelling
Muszi,HU,Blaha Lujza Tér,1,,Budapest,Arts Centre,,,arts_centre,,,,,,,,,,,,,,,,,,,,,,,muszi.org,info@muszi.org,,,,,,,,,,,47.4959153,19.0691976311997,Blaha Lujza tér,isolated_dwelling
Hackerspace,HU,Bástya utca,12,,Budapest,hackerspace,,,,,,,,,,hackerspace,,,,,,,,,,,,,,,,http://hsbp.org/,,,,,,,,,,,,47.4892092,19.0592256048982,Bástya utca,isolated_dwelling
Aurora,HU,Aurora utca,11,,Budapest,Community center,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/auroraunofficial/?fref=ts,info@auroraonline.hu,,,,,,,,,,,47.4940833,19.0761229,Auróra utca,isolated_dwelling
Golya,HU,Bókay János utca,34,,Budapest,Community center,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,http://golyapresszo.hu/,golyahaz@gmail.com,+36 1 785 5568,,,,,,,,,,47.48648685,19.0789726253997,Bókay János utca,isolated_dwelling
Meszelato,HU,Raday utca,18,,Budapest,Association Office,,,,,,association,,,,,,,,,,,,,,,,,,,,http://www.messzelato.hu/,info@messzelato.hu,+36 30 252 6437,,,,,,,,,,47.4869875,19.0635755,Ráday utca,isolated_dwelling
Szatyor,HU,Gyulai pál utca,14,,Budapest,Organic store,,,,,,,,,,,,,,,,,,,,,,,,,,http://szatyorbolt.hu/,,+36 203228181,,,,,,,,,,47.4939197,19.0678295200465,Gyulai Pál utca,isolated_dwelling
Gödör,HU,Király utca,8,,Budapest,Club,,,,,yes,,,,,,,,,,,,,,,,,,,,,http://www.godorklub.hu/,info@godorklub.hu,+36 20 201 3868,,,,,,,,,,47.56268132,19.0915796,Király utca,isolated_dwelling
Dürer Kert,HU,Ajtósi Dürer sor ,19-21,,Budapest,Club,,,,,yes,,,,,,,,,,,,,,,,,,,,,http://www.durerkert.com/,,+36 1 789 4444,,,,,,,,,,47.5096859,19.0903274,Ajtósi Dürer sor,isolated_dwelling
Humusz Haz,HU,Saru utca,11,,Budapest,Green Association,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.humusz.hu/humuszhaz,humus@humus.hu,+36 1 386 26 48,,,,,,,,,,47.47663665,19.054098975,,isolated_dwelling
Bio piac (Mom park),HU,Csörsz utca,18,,Budapest,Farmers market,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,http://www.biokultura.org/index.php/csorsz-okopiac,okopiac@biokultura.org,+36 30 435 5680,,,,,,,,,,47.489941,19.019097,Csörsz utca,isolated_dwelling
Leonardo Community gardens,HU,Tömő utca,14,,Budapest,Community garden,,,,,,,,,,garden,community,,,,,,,,,,,,,,,http://kozossegikertek.hu/kertek/viii-kerulet/corvin-setany/,kozossegikertek@kek.org.hu,,,,,,,,,,,47.4848458,19.0777698,Tömő utca,isolated_dwelling
Eszmélet,HU,Múzeum utca,7,,Budapest,Journal,,,,,,,,,,,,,,,,,,,,,,,,,,http://eszmelet.hu/,eszmelet1989@gmail.com,+36 30 532 0000,,,,,,,,,,47.49010745,19.0632389968213,Múzeum utca,isolated_dwelling
Kossuth Klub,HU,Múzeum utca,7,,Budapest,community center,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,kossuth-klub.hu,info@kossuth-klub.hu,+36 1 338 31 66,,,,,,,,,,47.49015,19.06316,Múzeum utca,isolated_dwelling
