name,addr:country,addr:orig_street,addr:housenumber,addr:postcode,addr:city,POI_TYPE,amenity,shop,tourism,craft,club,office,man_made,social_facility,social_facility:for,leisure,garden:type,payment:none,natural,access,type,building,landuse,place,dedication,squatted,vacant,internet_access,description,#N/A,image,contact:website,contact:email,contact:phone,opening_hours,organic,fair-trade,regional,CATEGORY-TAG1,CATEGORY-TAG2,CATEGORY-TAG3,lat,lon,lat,lon,addr:street,place
Transition Wekerle,HU,Petur u.,7,,Budapest,Association Office,,,,,,association,,,,,,,,,,,,,,,,,,,,https://www.transitionnetwork.org/initiatives/talakul-wekerle-transition-wekerle,atalakulo.wekerle@gmail.com,,,,,,,,,,,47.4583323,19.1277038,Petúr utca,town
Noha Studio,HU,Pozsonyi utca,12,,Budapest,Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,http://nohastudio.hu/,noha@nohastudio.hu,+36 1 788 10 99,,,,,,,,,,47.5529925,19.0925773,Pozsonyi utca,town
Vedegylet Transition,HU,Kálmán Imre utca ,25,,Budapest,Association Office,,,,,,association,,,,,,,,,,,,,,,,,,,,http://vedegylet.hu/,iroda @ vedegylet.hu,+36 339 07 13,,,,,,,,,,47.5068201,19.0520602,Kálmán Imre utca,town
Greenpeace,HU,Zászlós utca,54,,Budapest,Association Office,,,,,,association,,,,,,,,,,,,,,,,,,,,http://www.greenpeace.org/hungary/hu/,info.hu@greenpeace.org,+36 1 392 7663,,,,,,,,,,47.502501,19.1110251,Zászlós utca,town
ESSRG,HU,Romer Floris,38,,Budapest,University,university,,,,,,,,,,,,,,,,,,,,,,,,,https://www.essrg.hu/,info@essrg.hu,,,,,,,,,,,47.514542,19.0330128,Rómer Flóris utca,town
Zamboki biokert,HU,szent laszlo utca ,,,Zsambok,Farmers market,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,http://www.zsambokibiokert.hu/,zsamboki.biokert@gmail.com,,,,,,,,,,,47.5420776,19.6150119,Szent László utca,town
Tudatos Vásárlók Egyesülete,HU,Móricz Zsigmond körtér ,3a,,Budapest,Association Office,,,,,,association,,,,,,,,,,,,,,,,,,,,http://tudatosvasarlo.hu/,tve@tve.hu,+36 1 225 8136,,,,,,,,,,47.4767923,19.0466519,Móricz Zsigmond körtér,town
MTVSZ,HU,Üllői út,91b,,Budapest,Association Office,,,,,,association,,,,,,,,,,,,,,,,,,,,http://www.mtvsz.hu/,info@mtvsz.hu,+36 1 216 7297,,,,,,,,,,47.4869514,19.067329,Üllői út,town
Szimpla Piac,HU,Kazinczy utca,14,,Budapest,Farmers market,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,http://www.szimpla.hu/szimpla-piac,piac@szimpla.hu,+36 204273375,,,,,,,,,,47.5650063,19.1247296,Kazinczy utca,town
Kelen Community gardens,HU,Fehérvári út,135,,Budapest,Community garden,,,,,,,,,,garden,community,,,,,,,,,,,,,,,http://kozossegikertek.hu/kertek/kelen-kert/,kelenkert@gmail.com,,,,,,,,,,,47.449718,19.0378967,Fehérvári út,town
Magyar Waldorf Szövetség,HU,Asbóth utca,17,,Budapest,School,school,,,,,,,,,,,,,,,,,,,,,,,,,http://www.waldorf.hu/,mwsz@waldorf.hu,+36 1 793 5743,,,,,,,,,,47.4976014,19.0569607,Asbóth utca,town
Cargonomia,HU,Dembinszky utca ,32,,Budapest,Coworking space,coworking_space,,,,,,,,,,,,,,,,,,,,,,,,,http://cargonomia.hu,info@cargonomia.hu,,,,,,,,,,,47.44313,19.16212,Dembinszky utca ,town
Varronomia,HU,Dembinszky utca ,32,,Budapest,workshop for manufacture or repair of goods,workshop,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/Varronomia-818852724894178/?fref=ts,,,,,,,,,,,,47.44313,19.16212,Dembinszky utca ,town
Repair cafe,HU,Dembinszky utca ,32,,Budapest,workshop for manufacture or repair of goods,workshop,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/groups/321701627864341/?ref=ts&fref=ts,,,,,,,,,,,,47.44313,19.16212,Dembinszky utca ,town
Degrowth Center (Budapest Degrowth conference team),HU,Dembinszky utca ,32,,Budapest,Degrowth conference organization group,,,,,,,,,,,,,,,,,,,,,,,,,,budapest.degrowth.org - nemnovekedes.net,,,,,,,,,,,,47.44313,19.16212,Dembinszky utca ,town
Haziko,HU,Dembinszky utca ,32,,Budapest,consumer cooperative (food coop),,,,,foodcoop,,,,,,,,,,,,,,,,,,,,,http://www.haziko.farm/,info@haziko.farm,+36 20 513 1323,,,,,,,,,,47.44313,19.16212,Dembinszky utca ,town
