"name"	"addr:country"	"addr:street"	"addr:housenumber"	"addr:postcode"	"addr:city"	"POI_TYPE"	"amenity"	"shop"	"tourism"	"craft"	"club"	"office"	"man_made"	"social_facility"	"social_facility:for"	"leisure"	"garden:type"	"payment:none"	"natural"	"access"	"type"	"building"	"landuse"	"place"	"dedication"	"squatted"	"vacant"	"internet_access"	"description"	"description:fi"	"image"	"website"	"contact:website"	"contact:email"	"contact:phone"	"opening_hours"	"organic"	"fair-trade"	"regional"	"CATEGORY-TAG1"	"CATEGORY-TAG2"	"CATEGORY-TAG3"
"Oma Maa"	"FI"	"Kaarlenkatu"	"15"	"00530"	"Helsinki"	"consumer cooperative (food coop)"					"foodcoop"																		"Oma Maa"	"Kahvila ja luomuruokaosuuskunta, tuottaa jäsenilleen ruokaa kumppanuusmaatalouden periaatteilla."	"omamaa.jpg"	"http://www.omamaa.fi"		"jasenet@omamaa.fi"		"http://www.omamaa.fi/kahvila-2/"	"only"		"yes"	"CSA"	"Food cooperative (legal coop status) / Consumer Cooperative "	"Café "
"Ehta Raha"	"FI"	"Jollaksentie"	"54 D 1 "	"00850"	"Helsinki"	"Ethical Financing"																							"Ehta Raha is a common good cooperative providing ethical financing e.g. community bonds."	"Ehta Raha on yhteisön tarpeista lähtevää rahoitusta. "		"http://www.ehtaraha.fi"				"https://www.facebook.com/Vaaterekki"				"Community bonds"	"Microfinance"	"Participatory Budgeting "
"Vaaterekki"	"FI"	"Vuorikatu"	"22"	"00100"	"Helsinki"	"Garment rental"																							"Vaaterekki is a garment rental focusing on Finnish design."	"Vaatelainaamo, josta voi lainata kotimaista muotia. "		"https://www.facebook.com/Vaaterekki"				"https://www.facebook.com/Vaaterekki"	"yes"		"yes"	"Garment rental"	"Sharing, re-use "	
"Mea Manna"	"FI"	"Hollolankatu"	"1"	"15110"	"Lahti"	"Restaurant"	"restaurant"																						"Mea Manna is a social restaurant with a great big heart."	"MeaManna on luomuruokaa ja kakkuja tarjoava kahvila, joka toimii erityistä tukea tarvitsevien aikuisten työpajana Lahdessa.  "		"http://www.meamanna.fi"		"meamanna@kaupunkikyla.fi"			"yes"	"yes"	"yes"	"Restaurant"		
"Tampereen kehitysmaakauppa"	"FI"	"Kohmankaari"	"3"	"33310"	"Tampere"	"Fair Trade Shop"		"fairtrade"																					"Fair Trade wholesale."	"Tampereen kehitysmaakauppa ry edistää reilua kaupankäyntiä teollisuus- ja kehitysmaiden välillä.  "		"http://www.kehitysmaakauppa.org/"		"posti@kehitysmaakauppa.org"			"yes"	"only"		"Fair Trade"	"Wholesalers "	
"Stadin aikapankki"	"FI"	"Kaarlenkatu"	"15"	"00530"	"Helsinki"	"Timebank"																							"Helsinki Timebank"	"Stadin Aikapankin verkkotorilla vaihdetaan palveluita aikaa vastaan. Periaatteena on, että kaikkien aika, työ ja avun tarve ovat yhtä arvokkaita! "	"aikapankki.jpg"	"https://stadinaikapankki.wordpress.com/"								"Time banking "	"Alternative currencies "	
"Osuuskunta Jalavala"	"FI"	"Limingantie"	"44-46 C 9"	"00560"	"Helsinki"	"Work Cooperative"																							"Working cooperative providing wellness services."	"Osuuskunta Jalavala on monialainen osuuskunta, joukko eri alojen asiantuntijoita ja osaajia, joita yhdistää kiinnostus työskennellä kestävästi edistäen niin ihmisten kuin ympäristön hyvinvointia. "		"http://www.jalavala.fi/"								"cooperative"		
"Turun Kirjakahvila"	"FI"	"Vanha Suurtori"	"3"	"20500"	"Turku"	"cafe"	"cafe"																						"Turku Book Cafe is a bookstore, gallery and cafe."	"Turun Kirjakahvila on vuodesta 1981 toiminut kirjakauppa, galleria ja vegaaninen kahvila, joka tarjoaa kulttuurielämyksiä viehättävässä ympäristössä. "		"http://www.kirjakahvila.org/"				"http://www.kirjakahvila.org/?page_id=7"	"yes"	"yes"		"Café "		
"Hyväntekijä"	"FI"	"Koskikatu"	"1"	"80100"	"Joensuu"	"boutique"		"boutique"																					"Social store and online store selling products that do good."	"Hyväntekijäa -verkkokauppa on yhteiskunnallinen yritys, joka myy vastuullisesti tuotettuja tuotteita."	"hyvantekija.jpg"	"http://www.hyvantekija.fi/"		"info@hyvantekija.fi"			"yes"	"yes"				
"Suomen Talkoot ry"	"FI"	"Hirvikatu"	"20 A 2"	"33240"	"Tampere"	"Community garden"										"garden"	"community"												"Community gardening and cleaning voluntary work."	"Talkoillaan hyvinvointikampanja ja Haist' Kukkanen kaupunkiviljelyprojekti. "		"https://suomentalkoot.wordpress.com/"		"suomentalkoot@gmail.com "						"Urban Gardening "	"Community Gardening "	
