name	short description	addr:country	addr:street	addr:housenumber	addr:postcode	addr:city	contact:phone	contact:email	contact:website	identity	main tag
AGBeratung - Projekte beraten Projekte		Germany	Richardstrasse	24c	12043	Berlin	+49 30 68231091	agb@agberatung-berlin.org	http://agberatung-berlin.org	solidarity_economy; demonetized_economy	consulting service
Akademie für Suffizienz		Germany	Gross Pankower Weg	7	16928	Reckenthin	+49 176 20362434	corinna@akademie-suffizienz.de	http://akademie-suffizienz.de	commons; demonetized_economy; subsistence_economy	project centre
Allmende-Kontor		Germany	Bülowstrasse	74	10783	Berlin	 	garten@allmende-kontor.de; severinhalder@googlemail.com; gerda-muennich-im-allmende-kontor@gmx.de	http://allmende-kontor.de	commons	community garden
Andere Welt Strausberg		Germany	Garzauer Strasse	20	15344	Strausberg			http://anderewelt.org	commons	project centre (in process of planning)
Berliner Büchertisch		Germany	Mehringdamm	51	10961	Berlin	+49 30 61209996	buero@buechertisch.org	http://buechertisch.org	solidarity_economy 	charitable bookshop
Café Cralle		Germany	Hochstädter Strasse	10a	13347	Berlin	+49 30 4553001	cafecralle@riseup.net	https://cafecralle.wordpress.com	solidarity_economy 	coffeehouse collective
Chasino		Germany	Lenaustrasse	25	12047	Berlin		info@chasinho.org	http://chasinho.org/	economy_for_the_common_good	fair and organic tea shop collective
cucula		Germany	Schlesische Strasse	27b	10997	Berlin	+49 30 61776730	info@cucula.org	http://cucula.org	solidarity_economy	woodwork collective with refugees
Die Backstube		Germany	Wassertorstrasse	2	10969	Berlin	+49 30 6143080	die.backstube@web.de	http://die-backstube.de	solidarity_economy	bakery collective
Die Boden schafft Berlin		Germany	Freiligrathstrasse	11	10967	Berlin	+49 30 61655752	office@martinakolarek.com	http://die-boden-schafft.de/activities.aspx	economy_for_the_common_good	community garden; consulting service
Die Dezentrale		Germany	Lenaustrasse	25	12047	Berlin	+49 30 6162144	info@die-dezentrale.org	http://die-dezentrale.org	economy_for_the_common_good; commons	network and sustainable business incubator
Dr. Pogo		Germany	Karl-Marx-Platz	24	12043	Berlin	+49 30 53069794	kontakt@veganladen-kollektiv.net	http://veganladen-kollektiv.net	solidarity_economy	vegan store collective; fair trade; CSA collection point
Drittwerk		Germany	Karl-Marx-Strasse	17	12043	Berlin	+49 30 6927144	metallbau@drittwerk.de 	http://drittwerk.de	solidarity_economy	metallworking collective
Ecobasa		Germany	Oranienstrasse	183	10999	Berlin		info@ecobasa.org	http://ecobasa.org	demonetized_economy; p2p_economy	online platform
Fahrwerk		Germany	Warschauer Strasse	59a	10243	Berlin	+49 30 40585100	info@fahrwerk-berlin.de	http://fahrwerk-berlin.de	solidarity_economy	environmentally friendly courier collective
Fairbindung		Germany	Oranienstrasse	183	10999	Berlin	+49 30 577044752	info@fairbindung.org	http://fairbindung.org	solidarity_economy	Fair Trade Shop; educational work
Fairmondo		Germany	Glogauer Strasse	21	10999	Berlin	+49 30 89615845	email@fairmondo.de	https://http://fairmondo.de	solidarity_economy; economy_for_the_common_good 	consumer cooperative; online platform
Forum Kreuzberg		Germany	Köpenicker Strasse	174	10997	Berlin	+49 30 6110890 	office@forumkreuzberg.de	http://www.forumkreuzberg.de	economy_for_the_common_good  	housing cooperative; community run theatre
freiLand Potsdam		Germany	Friedrich-Engels-Strasse	22	14473	Potsdam	+49 176 32539322	office@freiland-potsdam.de	http://freiland-potsdam.de/about	commons	cultural centre; community centre
Friedelpraxis		Germany	Friedelstrasse	3a	12047	Berlin	+49 30 42027404	friedelpraxis@gmx.de	http://shiatsu-tcm-praxis.de	solidarity_economy	health; curative treatment
fsk-Kino und Peripher Filmverleih		Germany	Segitzdamm	2	10969	Berlin	+49 30 6142464	post@fsk-kino.de	http://fsk-kino.de	solidarity_economy	independent cinema
Gekko Getränkekollektiv		Germany	Köpeniker Strasse	26-29	10997	Berlin	+49 30 220128050	info@gekko-berlin.de	http://gekko-berlin.de	solidarity_economy	Fair Trade; beverage cooperative
