name,short description,addr:country,addr:orig_street,addr:housenumber,addr:postcode,addr:city,contact:phone,contact:email,contact:website,identity,main tag,lat,lon,addr:street,place
Allmende-Kontor,,Germany,Bülowstrasse,74,10783,Berlin, ,garten@allmende-kontor.de;severinhalder@googlemail.com;gerda-muennich-im-allmende-kontor@gmx.de,http://allmende-kontor.de,commons,community garden,52.4973694,13.365945,Bülowstraße,isolated_dwelling
Andere Welt Strausberg,,Germany,Garzauer Strasse,20,15344,Strausberg,,,http://anderewelt.org,commons,project centre (in process of planning),52.5482185,13.854011703299,Garzauer Straße,isolated_dwelling
Berliner Büchertisch,,Germany,Mehringdamm,51,10961,Berlin,+49 30 61209996,buero@buechertisch.org,http://buechertisch.org,solidarity_economy ,charitable bookshop,52.4916226,13.3875588,Mehringdamm,isolated_dwelling
Café Cralle,,Germany,Hochstädter Strasse,10a,13347,Berlin,+49 30 4553001,cafecralle@riseup.net,https://cafecralle.wordpress.com,solidarity_economy ,coffeehouse collective,52.550607,13.363522,Hochstädter Straße,isolated_dwelling
Chasino,,Germany,Lenaustrasse,25,12047,Berlin,,info@chasinho.org,http://chasinho.org/,economy_for_the_common_good,fair and organic tea shop collective,52.4901697,13.4254482,Lenaustraße,isolated_dwelling
cucula,,Germany,Schlesische Strasse,27b,10997,Berlin,+49 30 61776730,info@cucula.org,http://cucula.org,solidarity_economy,woodwork collective with refugees,52.4985811,13.4480786,Schlesische Straße,isolated_dwelling
Die Backstube,,Germany,Wassertorstrasse,2,10969,Berlin,+49 30 6143080,die.backstube@web.de,http://die-backstube.de,solidarity_economy,bakery collective,52.4990889,13.4117423,Wassertorstraße,isolated_dwelling
Die Boden schafft Berlin,,Germany,Freiligrathstrasse,11,10967,Berlin,+49 30 61655752,office@martinakolarek.com,http://die-boden-schafft.de/activities.aspx,economy_for_the_common_good,community garden;consulting service,52.4914891,13.4098781,Freiligrathstraße,isolated_dwelling
Die Dezentrale,,Germany,Lenaustrasse,25,12047,Berlin,+49 30 6162144,info@die-dezentrale.org,http://die-dezentrale.org,economy_for_the_common_good;commons,network and sustainable business incubator,52.4901697,13.4254482,Lenaustraße,isolated_dwelling
Dr. Pogo,,Germany,Karl-Marx-Platz,24,12043,Berlin,+49 30 53069794,kontakt@veganladen-kollektiv.net,http://veganladen-kollektiv.net,solidarity_economy,vegan store collective;fair trade;CSA collection point,52.4739276,13.4431966,Karl-Marx-Platz,isolated_dwelling
Drittwerk,,Germany,Karl-Marx-Strasse,17,12043,Berlin,+49 30 6927144,metallbau@drittwerk.de ,http://drittwerk.de,solidarity_economy,metallworking collective,52.4852112,13.4272079,Karl-Marx-Straße,isolated_dwelling
Ecobasa,,Germany,Oranienstrasse,183,10999,Berlin,,info@ecobasa.org,http://ecobasa.org,demonetized_economy;p2p_economy,online platform,52.5007723,13.4206773,Oranienstraße,isolated_dwelling
Fahrwerk,,Germany,Warschauer Strasse,59a,10243,Berlin,+49 30 40585100,info@fahrwerk-berlin.de,http://fahrwerk-berlin.de,solidarity_economy,environmentally friendly courier collective,52.5092899,13.452445,Warschauer Straße,isolated_dwelling
Fairbindung,,Germany,Oranienstrasse,183,10999,Berlin,+49 30 577044752,info@fairbindung.org,http://fairbindung.org,solidarity_economy,Fair Trade Shop;educational work,52.5007723,13.4206773,Oranienstraße,isolated_dwelling
