id,name,Primary Term,Icon,Description,Sprache,Appointment Needed,Children Welcome,Volunteer,Accessible by public transport,Telephone,Email,Free entry,Entry cost,Web Address,Wheelchair Accessible,Street location,Stadt,Bundesland,Postal Code,latitude,longitude
47570,Überdurchschnittliche Feinstaub & Stickstoffdioxidbelastung,Air Pollution,"Luftverschmutzung, Gesundheitsgefahr, Lärmbelästigung","Die Durchschnittlichen Mittelwerte an Feinstaub und Stickstoffdioxidbelastung sind hier deutlich höher als in den restlichen Straßen. 
The of grade of air pollution with particulate matter and nitrogen dioxide are  above the ordinary level.",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.099084,11.585283
47571,Überdurchschnittliche Feinstaub & Stickstoffdioxidbelastung,Air Pollution,"Luftverschmutzung, Lärmbelästigung","Die Durchschnittlichen Mittelwerte an Feinstaub und Stickstoffdioxidbelastung sind hier deutlich höher als in den restlichen Straßen. 
The of grade of air pollution with particulate matter and nitrogen dioxide are  above the ordinary level.",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.139655,11.535144
47556,STATTAUTO Station,Alternative Fuel/Vehicles,"Alternativer Kraftstoff, Fair Trade",Station to pick up a public car.,,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Not free,you need a card to rent a car,,Not accessible,,,,,48.151638,11.561990
47691,STATTAUTO Station,Alternative Fuel/Vehicles,"Alternativer Kraftstoff, Park 'N Ride","Theresienstraße 81
80333 München",,Termin nötig,Not child friendly,No Volunteer Opportunities,Anschluss zu öffentlichen Verkehrsmitteln,,,Freier Eintritt,,,Not accessible,,,,,48.151539,11.562878
47692,STATTAUTO Station,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Seidlstraße 8
80335 München ‎ 
http://www.stattauto-muenchen.de/",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.144030,11.558136
47693,STATTAUTO Station,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Gaiglstraße 10
80335 München ‎",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.152028,11.551570
47694,STATTAUTO Station,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Kaulbachstraße 31
80539 München ‎ 
http://www.stattauto-muenchen.de/",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.148293,11.584057
47695,STATTAUTO Station,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Nordendstrasse 38
http://www.stattauto-muenchen.de/",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.156038,11.575538
47697,STATTAUTO Station,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Hiltenspergerstraße 55
80796 München ‎ 
http://www.stattauto-muenchen.de/",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.162071,11.567983
47698,STATTAUTO Station,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Kellerstraße 10
81667 München
http://www.stattauto-muenchen.de/ ‎",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.130223,11.596076
