name,addr:country,addr:street,addr:housenumber,addr:postcode,addr:city,main_tag,lat,lon
o’pflanzt is!,DE,Emma-Ihrer-Straße,,80637,München,Community garden,48.6964776,13.4631543
Interkultureller Garten Wilhelmsburg e.V. ,DE,hinter dem Haus Veringstraße,147,21107,Hamburg,Community garden,53.5503414,10.000654
Tifu Tutenberg Institut für Umweltgestaltung e.V. – Permakulturgarten ,DE,Schulgartenweg / Altonaer Volkspark,,22525,Hamburg,Community Garden,53.5503514,10.000654
Keimzelle – TAUSCHPLATZ für Alle ,DE,Ölmühlenplatz im Karolinenviertel,,20357,Hamburg,Community garden,53.5503614,10.000654
Alsengarten,DE,Hinterhof der Alsenstraße,19a,44789,Bochum,community garden,51.482321,7.2187465
Bonnekamp-Stiftung für die integrative Stadt,DE,"Welterbe Zollverein, A9, Gelsenkirchener Straße",181,45309,Essen,research,51.4570874,7.0114295
Ökonauten EG,DE,Sydower Feld,4,16359,Biesenthal,local producer,52.75987055,13.6556506199
Die Biohöfe im Windrather Tal,DE,Windrather Tal,,42553,Windrath,farm,51.3235594,7.1276621
Utopiastadtgarten,DE,"Am Bahnhof Mirke, Mirker Straße",48,42105,Wuppertal,Community garden,51.264018,7.1780374
Gartenbaubetrieb noris inklusion gGmbH -  Rent-a-Huhn,DE,Berthold-Brecht-Straße ,6,90471,Nürnberg,farm,49.4538723,11.0772978
Uria e.V. ,DE,Dorfstraße ,42,72336,Balingen-Ostdorf,club,48.2701711,8.8687476776
Heuhüpfer e.V. - Lernort Kampfelder Hof,DE,Hauptstraße ,31,30966,Hemmingen OT Hiddestorf,farm,52.2815158,9.7084775
Transition Initiative Hannover,DE,Hausmannstraße,9-10,30159,Hannover,club,52.3744779,9.7385532
Ein Vermehrungsgarten für Hannover,DE,An der Bauernwiese,42,30459,Hannover,Community garden,52.3744779,9.7385532
Aprikosen für Alle,DE,Leisninger Straße ,80,1127,Dresden,Community garden,52.9794681,-2.1436973
Bäckerei Back 2,DE,Einkaufspassage Deminaniplatz,19/20,2826,Görlitz,bakery,51.1517428,14.9844025
Social Seeds,DE,Gneistraße ,10,10437,Berlin,club,52.5170365,13.3888599
Moabienen,DE,Siemensstraße,27,10551,Berlin ,beekeeper,52.5170365,13.3888599
Ökomarkt Ostertor,DE,Ulrichsplatz/Wulwestraße,,28203,Bremen,farmers market,53.0758196,8.8071646
