name	addr:country	addr:street	addr:housenumber	addr:postcode	addr:city	main_tag	description	description:de	operator	contact:website	contact:email	contact:phone	Opening Hours	organic	fair-trade	regional	SSEDAS main tag1	SSEDAS tag2	SSEDAS tag3	longitude (X)	latitute (Y)
INSELGRÜN	DE	Güterstraße	4	70372	Stuttgart	Community garden	The Urban Gardening Project within the Kulturinsel Stuttgart on the costums office area in Bad Cannstatt	Das Urban Gardening Projekt im Rahmen der Kulturinsel Stauttgart auf dem Zollamt-Areal in Bad Cannstatt		https://inselgruen.org	info@kulturinsel-stuttgart.de	49 711 169 178 00				yes	DIY-cultivation and -harvesting	community gardens			
Bienenschutz Stuttgart	DE	Johannesstraße 	65	70176	Stuttgart	beekeeper 	Association of people who are enthusiastic about honey bees and beekeeping according to Demeter priciples.	Zusammenschluss von Menschen, die sich für Honigbienen und wesensgemäßes Imkern begeistern	Bienenschutz Stuttgart e.V.	http://www.bienenschutz-stuttgart.de	info@bienenschutz-stuttgart.de	49 711  46 99 28 41		yes		only	education & policy in food & agriculture	other projects			
plattsalat	DE	Bismarckstr.	55/1	70197	Stuttgart	organic store	One association - three stores. The organic stores are run by a team and self-governed and self-determined by the members. 	Ein Verein - drei Läden. Alle Läden werden selbstverwaltet und selbstbestimmt durch die Mitglieder von einem Ladenteam betrieben	plattsalat e.V.	http://www.plattsalat.de/	info@plattsalat.de			only 	yes	yes	regional / critical consumption	Food-Coop			
Organischer Landbau in Bienenwerder	DE	Bienenwerder	 2b	15374	Müncheberg (Mark)	farm	The collective farm delivers to a  vegetable CSA and collectively operated organic shops.	Der Hof wird von einem Kollektiv betrieben und liefert an eine Gemüsegruppe sowie kollektiv betriebene Läden in Berlin 	olib e.V.	http://olib-ev.org/	bienenwerder@web.de	49 33432 747333		only		only	DIY-cultivation and -harvesting	CSA (community-supported agriculture)			
Bäckerei Weber GmbH	DE	Ringstr. 	48	71364	Winnenden	bakery	A pioneer among the organic bakers.	Pionier unter den Bio-Bäckereien		http://biobaeckerweber.de	info@biobaeckerweber.de	49 7195 61692	Mo-Fr :  6:30 - 18:00 Uhr, Sa : 6:00 - 13:00 Uhr	only		yes	regional / critical consumption	other projects			
o’pflanzt is!	DE	Emma-Ihrer-Straße Ecke Schwere-Reiter-Straße		80637	München	Community garden	In this community garden the gardening priciples are permaculture, bio-dynamic und sustainability (re-using/up-cycling/re-cycling).	In dem Gemeinschaftsgarten wird nach permakulturellen, biologisch-dynamischen, nachhaltigen (re-using/up-cycling/re-cycling) Prinzipien gegärtnert.	o’pflanzt is! E.V.	http://o-pflanzt-is.de	mitmachen@o-pflanzt-is.de			only			DIY-cultivation and -harvesting	community gardens			
Genussgemeinschaft Städter und Bauern e.V.	DE	Holzstraße 	15b	80469	München	farmers market	A platform for people who value family farming, traditional  craft-based food production and regional cuisine.	Eine Plattform für Menschen, die bäuerliche Landwirtschaft und traditionelles Lebensmittelhandwerk, und echte Regionalküche schätzen.	Genussgemeinschaft Städter und Bauern e.V.	http://www.genussgemeinschaft.de/	mail@johannes-bucej.de	49 89 50 88 51		yes		yes	regional / critical consumption	virtual marketplaces			
Kartoffelkombinat	DE	Durasweg	3	81247	München	farm	The aim of this CSA is to create a structure regional and seasonal food supplied that is common welfare-orientated. 	 Ziel ist der Aufbau einer gemeinwohlorientierten Struktur für die regionale, saisonale Lebensmittelversorgung. Hierfür wurde eine Solawi gegründet.		http://www.kartoffelkombinat.de	info@kartoffelkombinat.de	49 179 29 55 755		only		only	regional / critical consumption	CSA (community-supported agriculture)			
Waldgärtner	DE	Schrenkstr.	9	80339	München	farm	The CSA with four pick-up stations offers 40 - 50 species of vegetable and 40 -5 0 varieties of tomatos. 	Die Solawi mit 4 Abholstationen bietet  40-50 Gemüsearten und 40-50 Tomatensorten an		http://waldgaertner.de	info(at)waldgaertner.de	49 89 51099831		only		only	regional / critical consumption	CSA (community-supported agriculture)			
Bioland-Imkerei Berg & Blüte	DE	Rambaldistraße	27	81929	München	beekeeper 	Organic Beekeeping (Bioland) with 50 bee colonies. They also offer courses for urban beekeeping.	Bioland-Imkerei mit 50 Bienenvölkern, die auch Kurse für das Imkern in der Stadt anbietet.		http://www.bergundbluete.de	info@bergundbluete.de	49 89 95927590		only		yes	regional / critical consumption	other projects			
Hofgemeinschaft Oldendorf	DE	Oldendorfer Landstraße 	24	27729	Holste	farm	The farm community includes the Gärtnerhof Oldendorf, a gardening farm, which cultivates 80 different spicies of fruits, vegetables and herbs, and the sophienhof with animal husbandry and bakery	Die Hofgemeinschaft umfasst den Gärtnerhof Oldendorf, der 80 verschiedene Obst-, Kräuter- und Gemüsearten anbaut, sowie den Sophienhof mit Tierhaltung und Bäckerei		http://www.gaertnerhof-oldendorf.de	post@hofgemeinschaft-oldendorf.de	49 4748 931638		only		only	regional / critical consumption	CSA (community-supported agriculture)			
Ab geht die Lucie!	DE	Lucie-Flechtmann-Platz		28199	Bremen	Community garden	On a concrete lot a self-organized garden with raised beds was created. 	Auf einer Betonbracheist ein selbstorganisierter Garten mit Hochbeeten entstanden.	KulturPflanzen e.V.	http://ab-geht-die-lucie.blogspot.de	mail@lucie-bremen.de		Planung Mo : 18:30 Uhr, Gärtnern - Gießen - Genießen Di. + Do. 18 Uhr, So. 16 Uhr	yes		yes	DIY-cultivation and -harvesting	community gardens			
