name	addr:country	addr:street	addr:housenumber	addr:postcode	addr:city	main_tag	longitude	latitute
INSELGRÜN	DE	Güterstraße	4	70372	Stuttgart	Community garden		
Bienenschutz Stuttgart	DE	Johannesstraße 	65	70176	Stuttgart	beekeeper 		
plattsalat	DE	Bismarckstr.	55/1	70197	Stuttgart	organic store		
Organischer Landbau in Bienenwerder	DE	Bienenwerder	 2b	15374	Müncheberg (Mark)	farm		
Bäckerei Weber GmbH	DE	Ringstr. 	48	71364	Winnenden	bakery		
o’pflanzt is!	DE	Emma-Ihrer-Straße Ecke Schwere-Reiter-Straße		80637	München	Community garden		
Genussgemeinschaft Städter und Bauern e.V.	DE	Holzstraße 	15b	80469	München	farmers market		
Kartoffelkombinat	DE	Durasweg	3	81247	München	farm		
Waldgärtner	DE	Schrenkstr.	9	80339	München	farm		
Bioland-Imkerei Berg & Blüte	DE	Rambaldistraße	27	81929	München	beekeeper 		
Hofgemeinschaft Oldendorf	DE	Oldendorfer Landstraße 	24	27729	Holste	farm		
Ab geht die Lucie!	DE	Lucie-Flechtmann-Platz		28199	Bremen	Community garden		
KEBAP KulturEnergieBunkerAltonaProjekt e.V.	DE	Schomburgstraße 	6	22767	Hamburg	energy supply		
Gartendeck	DE	Große Freiheit	62-68	22767	Hamburg	Community garden		
Interkultureller Garten Wilhelmsburg e.V. 	DE	hinter dem Haus Veringstraße	147	21107	Hamburg	Community garden		
MOTTE – Stadtteil&Kulturzentrum	DE	Eulenstraße	43	22765	Hamburg	Community center		
Tifu Tutenberg Institut für Umweltgestaltung e.V. – Permakulturgarten 	DE	Schulgartenweg / Altonaer Volkspark		22525	Hamburg	Community Garden		
Keimzelle – TAUSCHPLATZ für Alle 	DE	Ölmühlenplatz im Karolinenviertel		20357	Hamburg	Community garden		
Kattendorfer Hof	DE	Dorfstraße 	1a	24568	Kattendorf	farm		
Agrar Koordination & FIA e.V.	DE	Nernstweg	32-34	22765	Hamburg	education		
Ernährungsratschlag Berlin 	DE	(momentan: INKOTA-Adresse)			Berlin	food council		
Lernbauernhof Schulte-Tigges	DE	Kümper Heide	21	44329	Dortmund	farm		
SoLawi Dortmund	DE	Kümper Heide	21	44329	Dortmund	community garden		
