name,addr:country,addr:orig_street,addr:housenumber,addr:postcode,addr:city,main_tag,lat,lon,addr:street
Hofgemeinschaft Oldendorf,DE,Oldendorfer Landstraße ,24,27729,Holste,farm,53.3719436,8.8281257,Oldendorfer Landstraße
Ab geht die Lucie!,DE,Lucie-Flechtmann-Platz,,28199,Bremen,Community garden,53.0740395,8.7968904777,Lucie-Flechtmann-Platz
KEBAP KulturEnergieBunkerAltonaProjekt e.V.,DE,Schomburgstraße ,6,22767,Hamburg,energy supply,53.5520383,9.949901,Schomburgstraße
Gartendeck,DE,Große Freiheit,62-68,22767,Hamburg,Community garden,53.5512863,9.9577982,Große Freiheit
Kattendorfer Hof,DE,Dorfstraße ,1a,24568,Kattendorf,farm,53.8453851,10.0278917,Dorfstraße
Bio Streuobst-Hof Stöckl,DE,Hauptstraße ,6,93352,Rohr,farm,49.339204,10.8901682,Hauptstraße
SoLaWi Tiefbrunn,DE,Mangoldingerstraße,11,93098,Tiefbrunn/Mintraching,farm,48.9334095,12.2575093,Mangoldinger Straße
Gemeinschaftsgarten am Protzenweiher ,DE,Am Protzenweiher,,93059,Regensburg,community garden,49.0264212,12.0917843,Am Protzenweiher
Mosterei Ketzür,DE,Ketzürer Dorfstraße ,30,14778,Beetzseeheide,local producer,52.4977106,12.6281544,Ketzürer Dorfstraße
BUND Brandenburg,DE,Friedrich-Ebert-Str.,144a,14467,Potsdam,club,52.4050934,13.0580991,Friedrich-Ebert-Straße
Wandelgarten mit Wandelkino,DE,Luisenstraße,110,42103,Wuppertal,community garden,51.254556,7.1331249,Luisenstraße
Stadtgarten Gartenküche,DE,Wandererstraße,44,90431,Nürnberg,community garden,49.4546252,11.0322571,Wandererstraße
Imkerei Goldblüte e.V.,DE,Heckenweg,24,73773,Aichwald,beekeeper,48.7764122,9.393299,Heckenweg
Essenszeit - Agentur für gesundes Leben,DE,Zur Schwanenburg ,11,30453,Hannover,Restaurant,52.3764248,9.6944059,Zur Schwanenburg
Die junge AbL,DE,Walburger Straße,2,37213,Witzenhausen,club,51.3366919,9.8601797,Walburger Straße
Leibspeise Dresden,DE,Haydnstraße,39/40,1309,Dresden,caterer,51.0468685,13.7765864,Haydnstraße
Bauerngarten Berlin Mette,DE,Querweg ,6 1/2,12529,Schönefeld,Community garden,52.4055121,13.446575,Querweg
ÖkoMarkt Steintor,DE,Mecklenburger Straße,,28203,Bremen,farmers market,53.071171,8.8281523,Mecklenburger Straße
ÖkoMarkt auf dem Ziegenmarkt,DE,Ziegenmarkt,,28203,Bremen,farmers market,53.07287655,8.8268624816,Ziegenmarkt
Bauernladen Paulskloster,DE,Beim Paulskloster ,28,28203,Bremen ,organic store,53.0715666,8.81736,Beim Paulskloster
